dim,cloud_size,max_iter,d_fact,c1_c2,profit
50,100,50,0.1,1.0,74.39772374306604
50,100,100,0.1,1.0,79.97123661746708
50,100,100,0.1,1.0,71.56558098042257
50,100,100,0.1,1.0,64.73486924987121
50,100,100,0.1,1.0,66.7098894055684
50,100,100,0.1,1.0,76.87547219061902
10,25,25,0.5,1.0,8.881757462782947
10,25,25,0.5,1.0,7.99772857258332
10,25,25,0.5,1.0,10.727317139843768
10,25,25,0.5,1.0,8.920387906524232
10,25,25,0.5,1.0,10.428376549792489
10,25,50,0.5,1.0,12.620678909072355
10,25,50,0.5,1.0,11.845598358892587
10,25,50,0.5,1.0,5.528382669371897
10,25,50,0.5,1.0,10.584079764782592
10,25,50,0.5,1.0,7.111312255844981
10,25,100,0.5,1.0,8.380171716379097
10,25,100,0.5,1.0,8.06550181932405
10,25,100,0.5,1.0,12.11785336677407
10,25,100,0.5,1.0,10.954587688668658
10,25,100,0.5,1.0,8.125347905918922
10,50,25,0.5,1.0,7.568623196377422
10,50,25,0.5,1.0,7.372286717439238
10,50,25,0.5,1.0,9.204135365184516
10,50,25,0.5,1.0,9.888721194036352
10,50,25,0.5,1.0,8.529614993744072
10,50,50,0.5,1.0,6.204693732835713
10,50,50,0.5,1.0,9.777241614524952
10,50,50,0.5,1.0,6.111010690258335
10,50,50,0.5,1.0,9.93314754353403
10,50,50,0.5,1.0,10.078714525386358
10,50,100,0.5,1.0,9.047598851471447
10,50,100,0.5,1.0,8.698216867416875
10,50,100,0.5,1.0,8.31567124823943
10,50,100,0.5,1.0,7.804719088957145
10,50,100,0.5,1.0,9.061878479385685
10,100,25,0.5,1.0,6.997049338429393
10,100,25,0.5,1.0,4.295087414289791
10,100,25,0.5,1.0,7.918513414258878
10,100,25,0.5,1.0,7.596156983680375
10,100,25,0.5,1.0,6.615168430171466
10,100,50,0.5,1.0,7.973217734460672
10,100,50,0.5,1.0,6.762087327415829
10,100,50,0.5,1.0,9.718511133679995
10,100,50,0.5,1.0,7.553335024247578
10,100,50,0.5,1.0,7.50439492399551
10,100,100,0.5,1.0,9.175219500247767
10,100,100,0.5,1.0,7.214960403986461
10,100,100,0.5,1.0,7.69789699240983
10,100,100,0.5,1.0,7.7381557147149636
10,100,100,0.5,1.0,7.430500269035268
50,25,25,0.5,1.0,92.04033737709422
50,25,25,0.5,1.0,86.38481588137404
50,25,25,0.5,1.0,69.74919616028953
50,25,25,0.5,1.0,91.05364027956018
50,25,25,0.5,1.0,92.64895319880414
50,25,50,0.5,1.0,91.02334001991576
50,25,50,0.5,1.0,89.05018452161738
50,25,50,0.5,1.0,82.98859054623621
50,25,50,0.5,1.0,80.65093917075362
50,25,50,0.5,1.0,85.6332338485434
50,25,100,0.5,1.0,80.83846571562748
50,25,100,0.5,1.0,87.52177651625651
50,25,100,0.5,1.0,86.7411266168839
50,25,100,0.5,1.0,85.21555607624725
50,25,100,0.5,1.0,79.19533527194055
50,50,25,0.5,1.0,80.7502821442952
50,50,25,0.5,1.0,76.52905020395238
50,50,25,0.5,1.0,91.64125327245007
50,50,25,0.5,1.0,72.42687388907311
50,50,25,0.5,1.0,77.0559174132104
50,50,50,0.5,1.0,77.07574871051952
50,50,50,0.5,1.0,80.74264438961428
50,50,50,0.5,1.0,77.24056973822232
50,50,50,0.5,1.0,82.3650823097933
50,50,50,0.5,1.0,73.64411833595835
50,50,100,0.5,1.0,76.32865010108668
50,50,100,0.5,1.0,74.99118363932656
50,50,100,0.5,1.0,76.58558588181342
50,50,100,0.5,1.0,82.34991825934108
50,50,100,0.5,1.0,70.77655341938286
50,100,25,0.5,1.0,78.77849911623251
50,100,25,0.5,1.0,66.01125611500339
50,100,25,0.5,1.0,76.62106011553308
50,100,25,0.5,1.0,84.07344916462601
50,100,25,0.5,1.0,74.54705805766737
50,100,50,0.5,1.0,78.83117936195727
50,100,50,0.5,1.0,72.64065383255515
50,100,50,0.5,1.0,77.0546429757214
50,100,50,0.5,1.0,86.34413431874229
50,100,50,0.5,1.0,65.83291552162025
50,100,100,0.5,1.0,73.94618760304203
50,100,100,0.5,1.0,77.57298569008996
50,100,100,0.5,1.0,72.47477009176143
50,100,100,0.5,1.0,77.9998562101718
50,100,100,0.5,1.0,67.14907871099875
10,25,25,0.9,1.0,9.602057693553284
10,25,25,0.9,1.0,10.90612396873929
10,25,25,0.9,1.0,11.745322920552091
10,25,25,0.9,1.0,11.997052029344658
10,25,25,0.9,1.0,9.59253498004151
10,25,50,0.9,1.0,11.774920972312117
10,25,50,0.9,1.0,8.303317865937876
10,25,50,0.9,1.0,10.146556642671072
10,25,50,0.9,1.0,15.239286802337139
10,25,50,0.9,1.0,8.501693975137758
10,25,100,0.9,1.0,8.991771680083087
10,25,100,0.9,1.0,11.39763282176879
10,25,100,0.9,1.0,9.436062798493705
10,25,100,0.9,1.0,11.721979693579621
10,25,100,0.9,1.0,12.223468054674417
10,50,25,0.9,1.0,9.426712245380322
10,50,25,0.9,1.0,8.219352788094541
10,50,25,0.9,1.0,8.956058495763747
10,50,25,0.9,1.0,7.989964124442203
10,50,25,0.9,1.0,11.206242785906861
10,50,50,0.9,1.0,6.776539157953138
10,50,50,0.9,1.0,9.038772720444507
10,50,50,0.9,1.0,7.785623134393404
10,50,50,0.9,1.0,9.779490322708979
10,50,50,0.9,1.0,8.927244589357494
10,50,100,0.9,1.0,8.380996964794608
10,50,100,0.9,1.0,7.6714457533181415
10,50,100,0.9,1.0,8.561398999886059
10,50,100,0.9,1.0,7.684400594179361
