dim,cloud_size,max_iter,d_fact,c1_c2,profit
40,50,25,0.5,1.0,61.43304940987313
40,50,50,0.5,1.0,50.15616443603019
40,50,100,0.5,1.0,54.738338606591896
40,100,25,0.5,1.0,59.02953816942526
40,100,50,0.5,1.0,60.528691823637985
40,100,100,0.5,1.0,57.534820276029215


50,25,25,0.5,1.0,94.553348512337
50,25,50,0.5,1.0,91.4404434120125
50,25,100,0.5,1.0,81.13167039119249
50,50,25,0.5,1.0,74.09525074863137
50,50,50,0.5,1.0,80.0711290636202
50,50,100,0.5,1.0,76.15617090938946
50,100,25,0.5,1.0,76.30590953687418
50,100,50,0.5,1.0,73.05742705708104
50,100,100,0.5,1.0,74.90080447770384


10,25,25,0.9,1.0,12.635407399295644
10,25,50,0.9,1.0,12.948490667594733
10,25,100,0.9,1.0,10.517978950441034
10,50,25,0.9,1.0,12.175512392664757
10,50,50,0.9,1.0,7.874723986579973
10,50,100,0.9,1.0,8.22343951260634
10,100,25,0.9,1.0,8.499448350537829
10,100,50,0.9,1.0,7.87545607195508
10,100,100,0.9,1.0,7.13596346141979

20,25,25,0.9,1.0,26.11935128903899
20,25,50,0.9,1.0,21.367980727103213
20,25,100,0.9,1.0,25.287914357105254
20,50,25,0.9,1.0,22.357282771570517
20,50,50,0.9,1.0,28.354739350883875
20,50,100,0.9,1.0,23.485592522901037
20,100,25,0.9,1.0,21.270015490468978
20,100,50,0.9,1.0,24.376570674471242
20,100,100,0.9,1.0,22.067279156719533

30,25,25,0.9,1.0,50.22609363029402
30,25,50,0.9,1.0,45.53059348108078
30,25,100,0.9,1.0,52.04664825278944
30,50,25,0.9,1.0,51.18713321040379
30,50,50,0.9,1.0,43.03082688030725
30,50,100,0.9,1.0,45.52874159867619
30,100,25,0.9,1.0,42.09830141981949
30,100,50,0.9,1.0,51.827495716277674
30,100,100,0.9,1.0,46.37686486121579

40,25,25,0.9,1.0,65.26189548310458
40,25,50,0.9,1.0,67.29673084577708
40,25,100,0.9,1.0,75.23188239033428
40,50,25,0.9,1.0,58.835464765468814
40,50,50,0.9,1.0,68.85811733931166
40,50,100,0.9,1.0,58.83520502945561
40,100,25,0.9,1.0,58.88167774715643
40,100,50,0.9,1.0,59.4558240092439
40,100,100,0.9,1.0,59.15552119439259

50,25,25,0.9,1.0,86.86911618366058
50,25,50,0.9,1.0,96.10660581930942
50,25,100,0.9,1.0,87.31002561528861
50,50,25,0.9,1.0,91.23510075410762
50,50,50,0.9,1.0,78.47625833214084
50,50,100,0.9,1.0,88.35951484787347
50,100,25,0.9,1.0,81.69897497232878
50,100,50,0.9,1.0,81.23954436464075
50,100,100,0.9,1.0,81.56408626941074

10,25,25,0.1,1.25,9.651223082212194
10,25,50,0.1,1.25,10.247140542460482
10,25,100,0.1,1.25,7.0521284498780545
10,50,25,0.1,1.25,8.374839442390448
10,50,50,0.1,1.25,5.80926410248663
10,50,100,0.1,1.25,4.811745703842651
10,100,25,0.1,1.25,6.284932980791211
10,100,50,0.1,1.25,6.764365320711501
10,100,100,0.1,1.25,7.274813003723348

20,25,25,0.1,1.25,22.97095007337357
20,25,50,0.1,1.25,17.912176929577072
20,25,100,0.1,1.25,15.918928022893477
20,50,25,0.1,1.25,22.111184639486098
20,50,50,0.1,1.25,18.532266638249652
20,50,100,0.1,1.25,19.43466473760651
20,100,25,0.1,1.25,22.496912077729302
